SETOR ECONoMICO;SUBSETOR;SEGMENTO;SEGMENTO;codigo;tipo;papel 
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;COSAN       ;CSAN;NM             ;CSNA3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;DOMMO;DMMO;;DMMO3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;ENAUTA PART;ENAT;NM             ;ENAT3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;PET MANGUINH;RPMG;;RPMG3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;PETROBRAS   ;PETR;N2;PETR4
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;PETROBRAS BR;BRDT;NM             ;BRDT3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;PETRORIO;PRIO;NM             ;PRIO3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;ULTRAPAR    ;UGPA;NM             ;UGPA3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Equipamentos e Servicos;LUPATECH    ;LUPA;NM             ;LUPA3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Equipamentos e Servicos;OSX BRASIL  ;OSXB;NM             ;OSXB3
Materiais Basicos;Mineracao;Minerais Metalicos;BRADESPAR   ;BRAP;N1             ;BRAP4
Materiais Basicos;Mineracao;Minerais Metalicos;LITEL       ;LTEL;MB             ;NA
Materiais Basicos;Mineracao;Minerais Metalicos;MMX MINER   ;MMXM;NM             ;MMXM3
Materiais Basicos;Mineracao;Minerais Metalicos;VALE        ;VALE;NM             ;VALE3
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;FERBASA     ;FESA;N1             ;FESA4
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;GERDAU      ;GGBR;N1             ;GGBR4
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;GERDAU MET  ;GOAU;N1             ;GOAU4
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;SID NACIONAL;CSNA;;CSNA3
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;USIMINAS    ;USIM;N1             ;USIM5
Materiais Basicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aco;MANGELS INDL;MGEL;;MGEL4
Materiais Basicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aco;PANATLANTICA;PATI;;PATI3
Materiais Basicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aco;TEKNO       ;TKNO;;NA
Materiais Basicos;Siderurgia e Metalurgia;Artefatos de Cobre;PARANAPANEMA;PMAM;NM             ;PMAM3
Materiais Basicos;Quimicos;Petroquimicos;BRASKEM     ;BRKM;N1             ;BRKM5
Materiais Basicos;Quimicos;Petroquimicos;ELEKEIROZ   ;ELEK;;ELEK4
Materiais Basicos;Quimicos;Petroquimicos;GPC PART    ;GPCP;;GPCP3
Materiais Basicos;Quimicos;Fertilizantes e Defensivos;FER HERINGER;FHER;NM             ;FHER3
Materiais Basicos;Quimicos;Fertilizantes e Defensivos;NUTRIPLANT  ;NUTR;MA             ;NA
Materiais Basicos;Quimicos;Quimicos Diversos;CRISTAL;CRPG;;NA
Materiais Basicos;Quimicos;Quimicos Diversos;UNIPAR      ;UNIP;;UNIP6
Materiais Basicos;Madeira e Papel;Madeira;DURATEX     ;DTEX;NM             ;DTEX3
Materiais Basicos;Madeira e Papel;Madeira;EUCATEX     ;EUCA;N1             ;EUCA4
Materiais Basicos;Madeira e Papel;Papel e Celulose;CELUL IRANI ;RANI;;na
Materiais Basicos;Madeira e Papel;Papel e Celulose;KLABIN S/A  ;KLBN;N2;KLBN11
Materiais Basicos;Madeira e Papel;Papel e Celulose;MELHOR SP   ;MSPA;;NA
Materiais Basicos;Madeira e Papel;Papel e Celulose;SANTHER     ;STTZ;;NA
Materiais Basicos;Madeira e Papel;Papel e Celulose;SUZANO HOLD ;NEMO;;NA
Materiais Basicos;Madeira e Papel;Papel e Celulose;SUZANO S.A.;SUZB;NM             ;SUZB3
Materiais Basicos;Embalagens;Embalagens;METAL IGUACU;MTIG;;NA
Materiais Basicos;Materiais Diversos;Materiais Diversos;SANSUY      ;SNSY;;NA
Bens Industriais;Construcao e Engenharia;Produtos para Construcao;ETERNIT     ;ETER;NM             ;ETER3
Bens Industriais;Construcao e Engenharia;Produtos para Construcao;HAGA S/A    ;HAGA;;NA
Bens Industriais;Construcao e Engenharia;Produtos para Construcao;PORTOBELLO  ;PTBL;NM             ;NA
Bens Industriais;Construcao e Engenharia;Construcao Pesada;AZEVEDO     ;AZEV;;NA
Bens Industriais;Construcao e Engenharia;Construcao Pesada;MENDES JR   ;MEND;;MEND6
Bens Industriais;Construcao e Engenharia;Engenharia Consultiva;SONDOTECNICA;SOND;;NA
Bens Industriais;Construcao e Engenharia;Engenharia Consultiva;TECNOSOLO   ;TCNO;;TCNO4
Bens Industriais;Construcao e Engenharia;Servicos Diversos;MILLS       ;MILS;NM             ;MILS3
Bens Industriais;Material de Transporte;Material aron utico e de Defesa;EMBRaR     ;EMBR;NM             ;EMBR3
Bens Industriais;Material de Transporte;Material Rodoviario;FRAS-LE     ;FRAS;N1             ;FRAS3
Bens Industriais;Material de Transporte;Material Rodoviario;MARCOPOLO   ;POMO;N2             ;POMO4
Bens Industriais;Material de Transporte;Material Rodoviario;RANDON PART ;RAPT;N1             ;RAPT4
Bens Industriais;Material de Transporte;Material Rodoviario;RECRUSUL    ;RCSL;;NA
Bens Industriais;Material de Transporte;Material Rodoviario;RIOSULENSE  ;RSUL;;NA
Bens Industriais;Material de Transporte;Material Rodoviario;TUPY        ;TUPY;NM             ;TUPY3
Bens Industriais;Material de Transporte;Material Rodoviario;WETZEL S/A  ;MWET;;MWET4
Bens Industriais;Maquinas e Equipamentos;Motores, Compressores e Outros;SCHULZ      ;SHUL;;SHUL4
Bens Industriais;Maquinas e Equipamentos;Motores, Compressores e Outros;WEG         ;WEGE;NM             ;WEGE3
Bens Industriais;Maquinas e Equipamentos;Maq e Equip. Industriais;ACO ALTONA  ;EALT;;NA
Bens Industriais;Maquinas e Equipamentos;Maq e Equip. Industriais;BARDELLA    ;BDLL;;NA
Bens Industriais;Maquinas e Equipamentos;Maq e Equip. Industriais;INDS ROMI   ;ROMI;NM             ;ROMI3
Bens Industriais;Maquinas e Equipamentos;Maq e Equip. Industriais;INEPAR      ;INEP;;INEP3
Bens Industriais;Maquinas e Equipamentos;Maq e Equip. Industriais;KEPLER WEBER;KEPL;;KEPL3
Bens Industriais;Maquinas e Equipamentos;Maq e Equip. Industriais;METALFRIO   ;FRIO;NM             ;na
Bens Industriais;Maquinas e Equipamentos;Maq e Equip. Industriais;NORDON MET  ;NORD;;NORD3
Bens Industriais;Maquinas e Equipamentos;Maq e Equip. Industriais;PRATICA;PTCA;M2;na
Bens Industriais;Maquinas e Equipamentos;Maq e Equip. Construcao e Agricolas;METISA      ;MTSA;;MTSA4
Bens Industriais;Maquinas e Equipamentos;Maq e Equip. Construcao e Agricolas;STARA;STTR;MA;NA
Bens Industriais;Maquinas e Equipamentos;Armas e Municoes;TAURUS ARMAS;TASA;N2             ;TASA4
Bens Industriais;Transporte;Transporte Aereo;AZUL;AZUL;N2             ;AZUL4
Bens Industriais;Transporte;Transporte Aereo;GOL         ;GOLL;N2             ;GOLL4
Bens Industriais;Transporte;Transporte Ferroviario;ALL NORTE   ;FRRN;MB             ;NA
Bens Industriais;Transporte;Transporte Ferroviario;ALL PAULISTA;GASC;MB             ;NA
Bens Industriais;Transporte;Transporte Ferroviario;COSAN LOG;RLOG;NM             ;RLOG3
Bens Industriais;Transporte;Transporte Ferroviario;FER C ATLANT;VSPT;;NA
Bens Industriais;Transporte;Transporte Ferroviario;MRS LOGIST  ;MRSA;MB             ;NA
Bens Industriais;Transporte;Transporte Ferroviario;RUMO S.A.;RAIL;NM             ;RAIL3
Bens Industriais;Transporte;Transporte Hidroviario;LOG-IN      ;LOGN;NM             ;LOGN3
Bens Industriais;Transporte;Transporte Hidroviario;TREVISA     ;LUXM;;LUXM4
Bens Industriais;Transporte;Transporte Rodoviario;JSL         ;JSLG;NM             ;JSLG3
Bens Industriais;Transporte;Transporte Rodoviario;TEGMA       ;TGMA;NM             ;TGMA3
Bens Industriais;Transporte;Exploracao de Rodovias;AUTOBAN     ;ANHB;;NA
Bens Industriais;Transporte;Exploracao de Rodovias;CCR SA      ;CCRO;NM             ;CCRO3
Bens Industriais;Transporte;Exploracao de Rodovias;CONC RAPOSO ;RPTA;;NA
Bens Industriais;Transporte;Exploracao de Rodovias;CONC RIO TER;CRTE;MB             ;NA
Bens Industriais;Transporte;Exploracao de Rodovias;ECON        ;ERDV;;NA
Bens Industriais;Transporte;Exploracao de Rodovias;ECONORTE    ;ECNT;;NA
Bens Industriais;Transporte;Exploracao de Rodovias;ECOPISTAS   ;ASCP;;NA
Bens Industriais;Transporte;Exploracao de Rodovias;ECORODOVIAS ;ECOR;NM             ;ECOR3
Bens Industriais;Transporte;Exploracao de Rodovias;ECOVIAS     ;ECOV;;NA
Bens Industriais;Transporte;Exploracao de Rodovias;ROD COLINAS ;COLN;;NA
Bens Industriais;Transporte;Exploracao de Rodovias;ROD TIETE   ;RDVT;;NA
Bens Industriais;Transporte;Exploracao de Rodovias;RT BANDEIRAS;CRBD;;NA
Bens Industriais;Transporte;Exploracao de Rodovias;TRIANGULOSOL;TRIA;;NA
Bens Industriais;Transporte;Exploracao de Rodovias;TRIUNFO PART;TPIS;NM             ;NA
Bens Industriais;Transporte;Exploracao de Rodovias;VIAOESTE    ;VOES;;NA
Bens Industriais;Transporte;Servicos de Apoio e Armazenagem;GRUAIRPORT;AGRU;MB             ;NA
Bens Industriais;Transporte;Servicos de Apoio e Armazenagem;PORTO VM;PSVM;;NA
Bens Industriais;Transporte;Servicos de Apoio e Armazenagem;INVEPAR     ;IVPR;MB             ;NA
Bens Industriais;Transporte;Servicos de Apoio e Armazenagem;SALUS INFRA;SAIP;;NA
Bens Industriais;Transporte;Servicos de Apoio e Armazenagem;SANTOS BRP  ;STBP;N2             ;STBP3
Bens Industriais;Transporte;Servicos de Apoio e Armazenagem;WILSON SONS ;WSON;DR3;NA
Bens Industriais;Servicos Diversos;Servicos Diversos;BBMLOGISTICA;BBML;MA;NA
Bens Industriais;Servicos Diversos;Servicos Diversos;CSU CARDSYST;CARD;NM             ;CARD3
Bens Industriais;Servicos Diversos;Servicos Diversos;DTCOM-DIRECT;DTCY;;NA
Bens Industriais;Servicos Diversos;Servicos Diversos;FLEX S/A;FLEX;MA;
Bens Industriais;Servicos Diversos;Servicos Diversos;LIQ;LIQO;NM             ;LIQO3
Bens Industriais;Servicos Diversos;Servicos Diversos;PRINER;PRNR;MA;
Bens Industriais;Servicos Diversos;Servicos Diversos;VALID       ;VLID;NM             ;VLID3
Bens Industriais;Comercio;Material de Transporte;BATTISTELLA ;BTTL;;BTTL3
Bens Industriais;Comercio;Material de Transporte;MINASMAQUINA;MMAQ;;
Bens Industriais;Comercio;Material de Transporte;WLM IND COM ;WLMM;;WLMM4
Consumo nao Ciclico;Agropecuaria;Agricultura;ALIPERTI    ;APTI;;
Consumo nao Ciclico;Agropecuaria;Agricultura;BRASILAGRO  ;AGRO;NM             ;AGRO3
Consumo nao Ciclico;Agropecuaria;Agricultura;POMIFRUTAS;FRTA;NM             ;FRTA3
Consumo nao Ciclico;Agropecuaria;Agricultura;SLC AGRICOLA;SLCE;NM             ;
Consumo nao Ciclico;Agropecuaria;Agricultura;TERRA SANTA;TESA;NM             ;
Consumo nao Ciclico;Alimentos Processados;Acucar e Alcool;BIOSEV;BSEV;NM             ;
Consumo nao Ciclico;Alimentos Processados;Acucar e Alcool;RAIZEN ENERG;RESA;;
Consumo nao Ciclico;Alimentos Processados;Acucar e Alcool;SAO MARTINHO;SMTO;NM             ;SMTO3
Consumo nao Ciclico;Alimentos Processados;Carnes e Derivados;BRF SA   ;BRFS;NM             ;BRFS3
Consumo nao Ciclico;Alimentos Processados;Carnes e Derivados;EXCELSIOR   ;BAUH;;BAUH4
Consumo nao Ciclico;Alimentos Processados;Carnes e Derivados;JBS         ;JBSS;NM             ;JBSS3
Consumo nao Ciclico;Alimentos Processados;Carnes e Derivados;MARFRIG     ;MRFG;NM             ;MRFG3
Consumo nao Ciclico;Alimentos Processados;Carnes e Derivados;MINERVA     ;BEEF;NM             ;BEEF3
Consumo nao Ciclico;Alimentos Processados;Carnes e Derivados;MINUPAR     ;MNPR;;MNPR3
Consumo nao Ciclico;Alimentos Processados;Alimentos Diversos;CAMIL;CAML;NM             ;CAML3
Consumo nao Ciclico;Alimentos Processados;Alimentos Diversos;J.MACEDO    ;JMCD;;
Consumo nao Ciclico;Alimentos Processados;Alimentos Diversos;JOSAPAR     ;JOPA;;
Consumo nao Ciclico;Alimentos Processados;Alimentos Diversos;M.DIASBRANCO;MDIA;NM             ;MDIA3
Consumo nao Ciclico;Alimentos Processados;Alimentos Diversos;ODERICH     ;ODER;;
Consumo nao Ciclico;Bebidas;Cervejas e Refrigerantes;AMBEV S/A;ABEV;;ABEV3
Consumo nao Ciclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Uso Pessoal;NATURA      ;NATU;NM             ;NATU3
Consumo nao Ciclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Limpeza;BOMBRIL     ;BOBR;;BOBR4
Consumo nao Ciclico;Comercio e Distribuicao;Alimentos;CARREFOUR BR;CRFB;NM             ;CRFB3
Consumo nao Ciclico;Comercio e Distribuicao;Alimentos;P.ACUCAR-CBD;PCAR;N1             ;PCAR4
Consumo Ciclico;Construcao Civil;Incorporacoes;CONST A LIND;CALI;;NA
Consumo Ciclico;Construcao Civil;Incorporacoes;CR2         ;CRDE;NM             ;NA
Consumo Ciclico;Construcao Civil;Incorporacoes;CYRELA REALT;CYRE;NM             ;CYRE3
Consumo Ciclico;Construcao Civil;Incorporacoes;DIRECIONAL  ;DIRR;NM             ;DIRR3
Consumo Ciclico;Construcao Civil;Incorporacoes;EVEN        ;EVEN;NM             ;EVEN3
Consumo Ciclico;Construcao Civil;Incorporacoes;EZTEC       ;EZTC;NM             ;EZTC3
Consumo Ciclico;Construcao Civil;Incorporacoes;GAFISA      ;GFSA;NM             ;GFSA3
Consumo Ciclico;Construcao Civil;Incorporacoes;HELBOR      ;HBOR;NM             ;HBOR3
Consumo Ciclico;Construcao Civil;Incorporacoes;INTER SA ;INNT;MA;
Consumo Ciclico;Construcao Civil;Incorporacoes;JHSF PART   ;JHSF;NM             ;JHSF3
Consumo Ciclico;Construcao Civil;Incorporacoes;JOAO FORTES ;JFEN;;JFEN3
Consumo Ciclico;Construcao Civil;Incorporacoes;MRV         ;MRVE;NM             ;MRVE3
Consumo Ciclico;Construcao Civil;Incorporacoes;PDG REALT   ;PDGR;NM             ;PDGR3
Consumo Ciclico;Construcao Civil;Incorporacoes;RNI;RDNI;NM             ;RDNI3
Consumo Ciclico;Construcao Civil;Incorporacoes;ROSSI RESID ;RSID;NM             ;RSID3
Consumo Ciclico;Construcao Civil;Incorporacoes;TECNISA     ;TCSA;NM             ;TCSA3
Consumo Ciclico;Construcao Civil;Incorporacoes;TENDA;TEND;NM             ;TEND3
Consumo Ciclico;Construcao Civil;Incorporacoes;TRISUL      ;TRIS;NM             ;TRIS3
Consumo Ciclico;Construcao Civil;Incorporacoes;VIVER       ;VIVR;NM             ;
Consumo Ciclico;Tecidos, Vestuario e Calcados;Fios e Tecidos;CEDRO       ;CEDO;N1             ;CEDO4
Consumo Ciclico;Tecidos, Vestuario e Calcados;Fios e Tecidos;COTEMINAS   ;CTNM;;CTNM4
Consumo Ciclico;Tecidos, Vestuario e Calcados;Fios e Tecidos;DOHLER      ;DOHL;;DOHL4
Consumo Ciclico;Tecidos, Vestuario e Calcados;Fios e Tecidos;ENCORPAR    ;ECPR;;
Consumo Ciclico;Tecidos, Vestuario e Calcados;Fios e Tecidos;IND CATAGUAS;CATA;;
Consumo Ciclico;Tecidos, Vestuario e Calcados;Fios e Tecidos;KARSTEN     ;CTKA;;CTKA4
Consumo Ciclico;Tecidos, Vestuario e Calcados;Fios e Tecidos;PETTENATI   ;PTNT;;PTNT4
Consumo Ciclico;Tecidos, Vestuario e Calcados;Fios e Tecidos;SANTANENSE  ;CTSA;;CTSA4
Consumo Ciclico;Tecidos, Vestuario e Calcados;Fios e Tecidos;SPRINGS     ;SGPS;NM             ;SGPS3
Consumo Ciclico;Tecidos, Vestuario e Calcados;Fios e Tecidos;TEKA        ;TEKA;;TEKA4
Consumo Ciclico;Tecidos, Vestuario e Calcados;Fios e Tecidos;TEX RENAUX  ;TXRX;;TXRX4
Consumo Ciclico;Tecidos, Vestuario e Calcados;Vestuario;CIA HERING  ;HGTX;NM             ;HGTX3
Consumo Ciclico;Tecidos, Vestuario e Calcados;Calcados;ALPARGATAS  ;ALPA;N1             ;ALPA4
Consumo Ciclico;Tecidos, Vestuario e Calcados;Calcados;CAMBUCI     ;CAMB;;
Consumo Ciclico;Tecidos, Vestuario e Calcados;Calcados;GRENDENE    ;GRND;NM             ;GRND3
Consumo Ciclico;Tecidos, Vestuario e Calcados;Calcados;VULCABRAS   ;VULC;NM             ;VULC3
Consumo Ciclico;Tecidos, Vestuario e Calcados;Acessorios;MUNDIAL     ;MNDL;;
Consumo Ciclico;Tecidos, Vestuario e Calcados;Acessorios;TECHNOS     ;TECN;NM             ;
Consumo Ciclico;Tecidos, Vestuario e Calcados;Acessorios;VIVARA S.A.;VIVA;NM             ;VIVA3
Consumo Ciclico;Utilidades Domesticas;Eletrodomesticos;WHIRLPOOL   ;WHRL;;WHRL4
Consumo Ciclico;Utilidades Domesticas;Moveis;UNICASA;UCAS;NM             ;UCAS3
Consumo Ciclico;Utilidades Domesticas;Utensilios Domesticos;HERCULES    ;HETA;;
Consumo Ciclico;Utilidades Domesticas;Utensilios Domesticos;NADIR FIGUEI;NAFG;;
Consumo Ciclico;Automoveis e Motocicletas;Automoveis e Motocicletas;IOCHP-MAXION;MYPK;NM             ;MYPK3
Consumo Ciclico;Automoveis e Motocicletas;Automoveis e Motocicletas;METAL LEVE  ;LEVE;NM             ;LEVE3
Consumo Ciclico;Automoveis e Motocicletas;Automoveis e Motocicletas;PLASCAR PART;PLAS;;
Consumo Ciclico;Hoteis e Restaurantes;Hotelaria;HOTEIS OTHON;HOOT;;
Consumo Ciclico;Hoteis e Restaurantes;Restaurante e Similares;BK BRASIL;BKBR;NM             ;BKBR3
Consumo Ciclico;Hoteis e Restaurantes;Restaurante e Similares;IMC S/A;MEAL;NM             ;MEAL3
Consumo Ciclico;Viagens e Lazer;Bicicletas;BIC MONARK  ;BMKS;;
Consumo Ciclico;Viagens e Lazer;Brinquedos e Jogos;ESTRELA     ;ESTR;;
Consumo Ciclico;Viagens e Lazer;Producao de Eventos e Shows;SPTURIS     ;AHEB;;
Consumo Ciclico;Viagens e Lazer;Producao de Eventos e Shows;TIME FOR FUN;SHOW;NM             ;SHOW3
Consumo Ciclico;Viagens e Lazer;Viagens e Turismo;CVC BRASIL;CVCB;NM             ;CVCB3
Consumo Ciclico;Viagens e Lazer;Atividades Esportivas;SMART FIT;SMFT;M2;
Consumo Ciclico;Diversos;Servicos Educacionais;ANIMA;ANIM;NM             ;ANIM3
Consumo Ciclico;Diversos;Servicos Educacionais;BAHEMA      ;BAHI;MA;BAHI3
Consumo Ciclico;Diversos;Servicos Educacionais;COGNA ON;COGN;NM             ;COGN3
Consumo Ciclico;Diversos;Servicos Educacionais;SER EDUCA;SEER;NM             ;SEER3
Consumo Ciclico;Diversos;Servicos Educacionais;YDUQS PART;YDUQ;NM             ;YDUQ3
Consumo Ciclico;Diversos;Aluguel de carros;LOCALIZA    ;RENT;NM             ;RENT3
Consumo Ciclico;Diversos;Aluguel de carros;LOCAMERICA;LCAM;NM             ;
Consumo Ciclico;Diversos;Aluguel de carros;MaSTROLOC;MSRO;M2;
